example_id                                      | status | run_time        |
----------------------------------------------- | ------ | --------------- |
./spec/models/wish_spec.rb[1:1:1]               | passed | 0.00252 seconds |
./spec/models/wish_spec.rb[1:1:2]               | failed | 0.00453 seconds |
./spec/models/wish_spec.rb[1:1:3]               | failed | 0.00386 seconds |
./spec/models/wish_spec.rb[1:1:4]               | failed | 0.00513 seconds |
./spec/models/wish_spec.rb[1:1:5]               | failed | 0.00794 seconds |
./spec/models/wish_spec.rb[1:2:1]               | failed | 0.05243 seconds |
./spec/requests/wishes_request_spec.rb[1:1:1]   | failed | 0.01961 seconds |
./spec/requests/wishes_request_spec.rb[1:1:2]   | failed | 0.01536 seconds |
./spec/requests/wishes_request_spec.rb[1:1:3]   | failed | 0.0287 seconds  |
./spec/requests/wishes_request_spec.rb[1:2:1:1] | failed | 0.00509 seconds |
./spec/requests/wishes_request_spec.rb[1:2:1:2] | failed | 0.00468 seconds |
./spec/requests/wishes_request_spec.rb[1:2:2:1] | failed | 0.0041 seconds  |
./spec/requests/wishes_request_spec.rb[1:2:2:2] | failed | 0.00383 seconds |
./spec/requests/wishes_request_spec.rb[1:2:2:3] | failed | 0.00288 seconds |
./spec/requests/wishes_request_spec.rb[1:3:1]   | failed | 0.0147 seconds  |
./spec/requests/wishes_request_spec.rb[1:3:2]   | failed | 0.01403 seconds |
./spec/requests/wishes_request_spec.rb[1:4:1:1] | failed | 0.01414 seconds |
./spec/requests/wishes_request_spec.rb[1:4:1:2] | failed | 0.00789 seconds |
./spec/requests/wishes_request_spec.rb[1:4:2:1] | failed | 0.0065 seconds  |
./spec/requests/wishes_request_spec.rb[1:4:2:2] | failed | 0.00623 seconds |
